iter	Passed	Remaining
982	42004	726
983	42041	683
984	42085	640
985	42121	598
986	42158	555
987	42201	512
988	42220	469
989	42259	426
990	42303	384
991	42339	341
992	42375	298
993	42409	255
994	42458	213
995	42513	170
996	42546	128
997	42591	85
998	42628	42
999	42673	0
